CO_IES,NO_IES,SG_IES,NO_MUNICIPIO_IES,SG_UF_IES,TP_CATEGORIA_ADMINISTRATIVA,QT_DOC_EX_DOUT,QT_DOC_EX_MEST,nome_ies_padronizado,total_bolsas_cnpq,ADC - Apoio à Difusão do Conhecimento,AED - Auxílio a Editoração e Publicação,APQ - Auxílio a Pesquisa,ARC - Promoção de Eventos Científicos,AT - Apoio Técnico a Pesquisa,ATP - Apoio Técnico em Extensão no País ,DCR - Desenvolvimento Cientifico Regional,DES - Desenvolvimento Tecnológico e Inovação ,DT - Produtividade Desen. Tec. e Extensão ,DTC - Desenvolvimento Tecnológico em TICs,DTI - Desenvolvimento Tecnológico Industrial,EPI - Bolsa de Treinamento - Programa ,EV - Especialista Visitante,EXP - Extensão no País,GD - Doutorado,GDE - Doutorado no Exterior,GM - Mestrado,IC - Iniciação Científica,ICJ - Iniciação Científica Júnior,IEX - Iniciação ao Extensionismo,IT - Iniciação Tecnológica,ITC - Iniciação Tecnológica em TICs,ITI - Iniciação Tecnológica e Industrial,PAV - Bolsa Pesquisador-Avaliador,PCI - Programa de Capacitação Institucional,PDE - Pós-doutorado no Exterior,PDI - Pos-doutorado Empresarial,PDJ - Pós-doutorado Júnior,PDS - Pós-doutorado Sênior,PQ - Produtividade em Pesquisa,PV - Pesquisador Visitante,SET - Fixação de Recursos Humanos,SWE - Doutorado Sanduíche no Exterior,SWP - Doutorado-Sanduiche no Pais
73,CENTRO DE ENSINO SUPERIOR DE ARCOVERDE,CESA,Arcoverde,PE,7,11,40,centro de ensino superior de arcoverde,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
74,FACULDADE DE FILOSOFIA CIÊNCIAS E LETRAS DE SÃO JOSÉ DO RIO PARDO,FFCL,São José do Rio Pardo,SP,3,8,8,faculdade de filosofia ciencias e letras de sao jose do rio pardo,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
76,UNIVERSIDADE REGIONAL DE BLUMENAU,FURB,Blumenau,SC,3,271,261,universidade regional de blumenau,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
77,FACULDADE DA REGIÃO DOS LAGOS,FERLAGOS,Cabo Frio,RJ,5,4,5,faculdade da regiao dos lagos,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
78,FACULDADE DE FILOSOFIA CIÊNCIAS E LETRAS DE ALEGRE,FAFIA,Alegre,ES,3,2,12,faculdade de filosofia ciencias e letras de alegre,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
79,INSTITUTO MUNICIPAL DE ENSINO SUPERIOR DE CATANDUVA,IMES CATANDUVA,Catanduva,SP,3,22,31,instituto municipal de ensino superior de catanduva,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
80,CENTRO UNIVERSITÁRIO PARA O DESENVOLVIMENTO DO ALTO VALE DO ITAJAÍ,UNIDAVI,Rio do Sul,SC,5,44,108,centro universitario para o desenvolvimento do alto vale do itajai,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
81,UNIVERSIDADE DA REGIÃO DE JOINVILLE,UNIVILLE,Joinville,SC,5,177,235,universidade da regiao de joinville,43,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3,0,5,26,0,0,3,0,0,0,0,0,0,0,0,5,0,0,0,0
82,UNIVERSIDADE DO OESTE DE SANTA CATARINA,UNOESC,Joaçaba,SC,5,190,303,universidade do oeste de santa catarina,45,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,26,0,0,10,0,0,0,0,0,0,0,0,5,0,1,0,0
83,UNIVERSIDADE DO VALE DO ITAJAÍ,UNIVALI,Itajaí,SC,5,348,479,universidade do vale do itajai,123,0,0,0,0,1,1,0,0,2,0,9,0,0,0,2,0,2,45,18,0,12,0,0,0,0,0,0,1,0,29,1,0,0,0
